Node;Node Coordinates;;
No.;X [mm];Y [mm];Z [mm]
329;18048.0;1131.8;5200.0
330;17667.6;1436.1;5200.0
331;17835.0;937.5;5200.0
332;17275.0;1562.5;5200.0
333;17398.5;1093.2;5200.0
334;18675.0;1250.0;5200.0
335;20075.0;1562.5;5200.0
336;15794.8;1041.5;5200.0
337;5875.2;1458.5;5200.0
338;1404.3;1462.8;5200.0
339;8315.0;1562.5;5200.0
340;8060.1;1056.0;5200.0
341;8875.0;937.5;5200.0
342;9715.0;1250.0;5200.0
343;9132.0;1430.0;5200.0
344;10299.5;1072.5;5200.0
345;10555.0;1562.5;5200.0
346;11955.0;1250.0;5200.0
347;11370.5;1427.5;5200.0
348;11115.0;937.5;5200.0
349;12538.0;1070.0;5200.0
350;12795.0;1562.5;5200.0
351;13355.0;937.5;5200.0
352;13609.9;1444.0;5200.0
353;20265.7;1037.2;5200.0
354;126.9;2070.6;5200.0
355;173.3;1268.2;5200.0
356;255.4;420.1;5200.0
357;959.3;481.0;5200.0
358;1438.9;275.3;5200.0
359;2510.6;344.6;5200.0
360;3530.0;373.5;5200.0
361;4543.1;254.6;5200.0
362;5932.1;299.2;5200.0
363;5395.8;479.1;5200.0
364;5074.9;466.8;5200.0
365;6907.0;422.7;5200.0
366;7952.1;332.3;5200.0
367;9498.3;489.2;5200.0
368;9027.6;256.4;5200.0
369;10122.2;331.4;5200.0
370;11739.9;489.2;5200.0
371;11259.9;256.6;5200.0
372;12360.5;331.4;5200.0
373;14038.4;487.4;5200.0
374;13485.4;255.5;5200.0
375;14731.4;178.6;5200.0
376;14366.3;481.0;5200.0
377;16113.7;310.2;5200.0
378;16956.2;479.6;5200.0
379;18147.0;176.2;5200.0
380;19400.7;197.5;5200.0
381;18835.7;464.2;5200.0
382;18507.6;485.5;5200.0
383;20422.6;325.9;5200.0
384;21543.1;429.4;5200.0
385;21496.7;1231.8;5200.0
386;21414.6;2079.9;5200.0
387;20710.7;2019.0;5200.0
388;20231.2;2224.7;5200.0
389;19159.4;2155.4;5200.0
390;18140.0;2126.5;5200.0
391;17126.9;2245.4;5200.0
392;15737.9;2200.8;5200.0
393;16274.2;2020.9;5200.0
394;16595.1;2033.2;5200.0
395;14763.0;2077.3;5200.0
396;13717.9;2167.7;5200.0
397;12171.8;2010.8;5200.0
398;12642.4;2243.6;5200.0
399;11547.8;2168.6;5200.0
400;9930.1;2010.8;5200.0
401;10410.1;2243.4;5200.0
402;9309.5;2168.6;5200.0
403;7631.6;2012.6;5200.0
404;8184.6;2244.5;5200.0
405;6938.6;2321.4;5200.0
406;7303.7;2018.9;5200.0
407;5556.3;2189.8;5200.0
408;4713.8;2020.4;5200.0
409;3523.0;2323.8;5200.0
410;2269.3;2302.5;5200.0
411;2834.3;2035.8;5200.0
412;3162.4;2014.5;5200.0
413;1247.5;2174.1;5200.0
414;1802.7;827.0;5200.0
415;2394.8;1173.6;5200.0
416;2807.7;1433.8;5200.0
417;3332.4;1261.9;5200.0
418;4259.4;828.5;5200.0
419;4444.8;1092.2;5200.0
420;3800.5;1357.1;5200.0
421;6295.4;858.7;5200.0
422;6741.3;1355.7;5200.0
423;4873.4;1155.9;5200.0
424;7106.8;1296.9;5200.0
425;14563.2;1203.1;5200.0
426;14928.7;1144.3;5200.0
427;15374.6;1641.3;5200.0
428;16796.6;1344.1;5200.0
429;19275.2;1326.4;5200.0
430;17869.5;1142.9;5200.0
431;17410.6;1671.5;5200.0
432;17225.3;1407.8;5200.0
433;18862.3;1066.2;5200.0
434;18337.6;1238.1;5200.0
435;19867.3;1673.0;5200.0
436;15434.8;689.5;5200.0
437;17625.7;703.9;5200.0
438;6235.2;1810.5;5200.0
439;4044.3;1796.1;5200.0
440;1214.2;1103.9;5200.0
441;1722.9;1781.5;5200.0
442;5661.1;1103.3;5200.0
443;7868.1;1390.8;5200.0
444;9288.7;1092.4;5200.0
445;8809.7;1715.5;5200.0
446;8412.4;781.0;5200.0
447;10139.8;1408.7;5200.0
448;11530.2;1091.3;5200.0
449;11041.8;1712.2;5200.0
450;10628.2;787.8;5200.0
451;12381.3;1407.6;5200.0
452;13801.9;1109.2;5200.0
453;13257.6;1719.0;5200.0
454;12860.3;784.5;5200.0
455;16008.9;1396.7;5200.0
