Member;Line;;Cross-Section No.;;Member Rotation;;Hinge No.;;Eccentr.;Division;Taper;Length;Weight;;
No.;No.;Member Type;Start;End;Type;beta [°];Start;End;No.;No.;Shape;L [mm];W [kg];;Comment
141;141;Beam;3;3;Angle;0.00;0;0;0;0;;4050.0;329.19;Z;
142;142;Beam;1;1;Angle;0.00;0;0;0;0;;2660.0;37.75;Z;
143;143;Beam;1;1;Angle;0.00;0;0;0;0;;2500.0;35.48;Y;
144;144;Beam;1;1;Angle;0.00;0;0;0;0;;2500.0;35.48;Y;
145;145;Beam;3;3;Angle;0.00;0;0;0;0;;5200.0;422.66;Z;
146;146;Beam;1;1;Angle;0.00;0;0;0;0;;2660.0;37.75;Z;
147;147;Beam;5;5;Angle;0.00;0;0;0;0;;1950.0;237.02;X;
148;148;Beam;5;5;Angle;0.00;0;0;0;0;;1950.0;237.02;X;
149;149;Beam;5;5;Angle;0.00;0;0;0;0;;1950.0;237.02;X;
150;150;Beam;5;5;Angle;0.00;0;0;0;0;;1950.0;237.02;X;
151;151;Beam;3;3;Angle;0.00;0;0;0;0;;1150.0;93.47;Z;
152;152;Beam;3;3;Angle;0.00;0;0;0;0;;2350.0;191.01;Z;
153;153;Beam;4;4;Angle;0.00;0;0;0;0;;7690.3;394.21;YZ;
154;154;Beam;3;3;Angle;0.00;0;0;0;0;;1150.0;93.47;Z;
155;155;Beam;3;3;Angle;0.00;0;0;0;0;;4050.0;329.19;Z;
156;156;Beam;4;4;Angle;0.00;0;0;0;0;;2500.0;128.15;Y;
